sample_id,date,year,month,month_num,season,location,latitude,longitude,tide_type,tide_phase,sampling_start,sampling_end,time,hour,interval_hr,weather,wind_speed_kmh,wind_direction,water_temp_c,depth_m,ph,ec_ms_cm,salinity_ppt,do_mg_l,orp_mv,turbidity_ntu,tds_ppt,tss_mg_l,nh3_n_mg_l,nitrate_mg_l,sulphate_mg_l,phosphate_mg_l,alkalinity_mg_l,hardness_titration_ml,hardness_total_mg_l,fe_mg_l,oil_grease_mg_l,remarks
K_2_5_28_2023,5/28/2023,2023,May,5,Pre Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,7:00 AM,7,2,Rainy,11.52,E,29.8,8.3,7.84,28,17.8,5.1,195.4,26.2,14,35,4.61,14.9,126,1.1,55,293,1465,0.06,125.3,N/A
K_3_5_28_2023,5/28/2023,2023,May,5,Pre Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,9:00 AM,9,2,Sunny,4.32,E,30.5,6.8,7.84,28.7,18.2,5.6,193,11.26,14.3,16,3.75,5.6,130,0.9,40,308,1540,0.06,120.2,N/A
K_4_5_28_2023,5/28/2023,2023,May,5,Pre Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,11:00 AM,11,2,Sunny,3.96,SE,30.4,5.7,7.85,30.6,19.6,5.1,193.5,58.1,15.3,106,4.65,3.4,128,2,10,380,1900,0.05,79.4,N/A
K_5_5_28_2023,5/28/2023,2023,May,5,Pre Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,1:00 PM,1,2,Sunny,3.6,E,30.9,6.3,7.86,30.8,19.7,4.9,193.1,24.2,15.4,34,4.23,5.2,129,1,75,385,1925,0.03,152,N/A
K_6_5_28_2023,5/28/2023,2023,May,5,Pre Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,3:00 PM,3,2,Sunny,7.92,NE,30.9,6.8,7.87,30.8,19.7,5.2,192.5,20.3,15.4,41,3.85,5.2,130,1.2,15,330,1650,0.07,140.3,N/A
K_7_5_28_2023,5/28/2023,2023,May,5,Pre Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,5:00 PM,5,2,Light Sunny,1.8,NE,30.7,7,7.86,30.5,19.5,4.9,192.2,34.9,15.3,41,3.83,6.2,128,1.1,15,325,1625,0.05,135.4,N/A
K_8_6_13_2023,6/13/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Neap,R,7:00,17:00,7:00 AM,7,2,Light Sunny,5.1,SE,31.3,8.4,7.76,32.3,20.8,7.4,160.8,63,16.2,116,3.85,7.1,128,0.9,120,414,2070,0.11,132.7,N/A
K_9_6_13_2023,6/13/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,9:00 AM,9,2,Sunny,17.5,S,31.6,8.2,7.76,31.9,20.5,5.8,151.7,61,16,92,3.61,5.2,128,0.7,70,452,2260,0.08,122.5,N/A
K_10_6_13_2023,6/13/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,11:00 AM,11,2,Sunny,14.7,S,31.7,7.9,7.82,32,20.6,5.7,161.9,73.2,16,51,3.78,8.3,129,0.3,150,477,2385,0.06,121.7,N/A
K_11_6_13_2023,6/13/2023,2023,June,6,Monsoon,karamjol,22.429192,89.598257,Neap,F,7:00,17:00,1:00 PM,1,2,Sunny,11.1,S,31.5,6.3,7.89,33.3,21.6,5.9,162.2,97,16.7,179,4.03,9.2,128,0.9,120,411,2055,0.06,117.4,N/A
